石家庄,sjz
唐山,tangshan
秦皇岛,qinhuangdao
邯郸,handan
邢台,xingtai
保定,baoding
张家口,zhangjiakou
承德,chengde
沧州,cangzhou
廊坊,langfang
衡水,hengshui
北京,bj
上海,sh
天津,tj
重庆,cq
广州,gz
深圳,sz
珠海,zhuhai
汕头,shantou
佛山,foshan
江门,jiangmen
茂名,maoming
惠州,huizhou
东莞,dg
中山,zhongshan
杭州,hz
宁波,nb
温州,wenzhou
嘉兴,jiaxing
湖州,huzhou
绍兴,shaoxing
金华,jinhua
衢州,quzhou
舟山,zhoushan
台州,zjtaizhou
贵阳,gy
六盘水,liupanshui
遵义,zunyi
安顺,anshun
铜仁,tongren
毕节,bijie
黔西南,qianxinan
黔东南,qiandongnan
黔南,qiannan
成都,cd
自贡,zigong
泸州,luzhou
德阳,deyang
绵阳,mianyang
乐山,leshan
南充,nanchong
宜宾,yibin
达州,dazhou
凉山,liangshan
沈阳,sy
大连,dl
鞍山,anshan
抚顺,fushun
丹东,dandong
锦州,jinzhou
营口,yingkou
辽阳,liaoyang
盘锦,panjin
葫芦岛,huludao
南京,nj
无锡,wx
苏州,su
徐州,xuzhou
常州,changzhou
南通,nantong
连云港,lianyungang
淮安,huaian
盐城,yancheng
扬州,yangzhou
福州,fz
厦门,xm
莆田,putian
三明,sanming
泉州,quanzhou
漳州,zhangzhou
南平,nanping
龙岩,longyan
宁德,ningde
长春,cc
吉林,jilin
四平,siping
辽源,liaoyuan
通化,tonghua
白山,baishan
松原,songyuan
白城,baicheng
延边,yanbian
哈尔滨,hrb
齐齐哈尔,qiqihaer
鸡西,jixi
鹤岗,hegang
双鸭山,shuangyashan
大庆,daqing
伊春,hljyichun
佳木斯,jiamusi
黑河,heihe
绥化,suihua
郑州,zz
洛阳,luoyang
平顶山,pingdingshan
焦作,jiaozuo
鹤壁,hebi
新乡,xinxiang
安阳,anyang
漯河,luohe
南阳,nanyang
济源,jiyuan
济南,jn
青岛,qd
淄博,zibo
枣庄,zaozhuang
东营,dongying
烟台,yantai
潍坊,weifang
威海,wei
莱芜,laiwu
滨州,binzhou
合肥,hf
芜湖,wuhu
蚌埠,bengbu
马鞍山,maanshan
安庆,anqing
滁州,chuzhou
阜阳,fuyang
宿州,ahsuzhou
巢湖,chaohu
六安,luan
柳州,liuzhou
桂林,gl
梧州,wuzhou
钦州,qinzhou
贵港,guigang
玉林,gxyulin
百色,baise
河池,hechi
来宾,laibin
南宁,nn
海口,hn
三亚,sanya
呼和浩特,nmg
包头,baotou
乌海,wuhai
赤峰,chifeng
通辽,tongliao
鄂尔多斯,eerduosi
呼伦贝尔,hulunbeier
巴彦淖尔,bayannaoer
乌兰察布,wulanchabu
兴安,xingan
太原,ty
大同,datong
阳泉,yangquan
长治,changzhi
晋城,jincheng
朔州,shuozhou
晋中,jinzhong
运城,yuncheng
忻州,xinzhou
临汾,linfen
银川,yc
兰州,lz
金昌,jinchang
白银,baiyin
天水,tianshui
武威,wuwei
张掖,zhangye
平凉,pingliang
酒泉,jiuquan
庆阳,qingyang
定西,dingxi
西安,xa
铜川,tongchuan
宝鸡,baoji
咸阳,xianyang
渭南,weinan
延安,yanan
汉中,hanzhong
榆林,sxyulin
安康,ankang
商洛,shangluo
西宁,xn
海东,haidong
海北,haibei
黄南,huangnan
海南州,hainanzhou
果洛,guoluo
玉树,yushu
海西,haixi
武汉,wh
黄石,huangshi
襄阳,xiangyang
十堰,shiyan
荆州,jingzhou
宜昌,yichang
荆门,jingmen
鄂州,ezhou
仙桃,xiantao
潜江,qianjiang
长沙,cs
株洲,zhuzhou
湘潭,xiangtan
衡阳,hengyang
邵阳,shaoyang
岳阳,yueyang
常德,changde
郴州,chenzhou
永州,yongzhou
